title,url
외국인 한국 보는 눈 달라졌다,http://news.mk.co.kr/news_forward.php?no=186472&year=2009
"“대규모 경기부양책, 신용 경색 완화정책 시급하다” 삼성경제연구소(SERI) 2009년 한국경제 전망",https://n.news.naver.com/mnews/article/262/0000002331?sid=101
[Interview] 실물경제 회생 중책 맡은 이윤호 지식경제부 장관,https://n.news.naver.com/mnews/article/262/0000002329?sid=102
'위기설...위기는 없었다',http://www.ytn.co.kr/_ln/0102_200903261735063860
노후車 교체땐 최대 250만원 稅감면,http://www.edaily.co.kr/news/newspath.asp?newsid=02630566589627256
[사설] ‘설’로 끝나가는 ‘3월 위기설’의 교훈,http://www.segye.com/Articles/News/Opinion/Article.asp?aid=20090326004492&subctg1=02&subctg2=01
(희망+)(이젠 선진증시)④`현금인출기`체질을 바꾸자,http://www.edaily.co.kr/news/newspath.asp?newsid=01813846589627256
환율 1330원대 진입…바닥은 어디,http://www.moneytoday.co.kr/view/mtview.php?type=1&no=2009032614444789388&outlink=1
"""위기설...위기는 없었다""",http://www.ytn.co.kr/_ln/0102_200903270112046925
<박재목 칼럼>헛짚은 ´3월 위기설´ 누가 책임지나,http://www.dailian.co.kr/news/n_view.html?id=150850&sc=naver&kind=menu_code&keys=1
